question_id,disease_group,question_type,difficulty,question,ground_truth,expected_behavior,expected_source,note,review_status,validation_status,validation_reason,source_generation,source_group,source_file,chunk_id
Q001,BỆNH TAY CHÂN MIỆNG,definition,easy,Nguyễn Thị Cảm Lệ đảm nhiệm chức vụ gì tại Bệnh viện Nhi đồng 2?,"Phó Trưởng khoa Cấp cứu, Bệnh viện Nhi đồng TP Hồ Chí Minh",answer_from_context,bệnh tay chân miệng_text_0006,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh tay chân miệng.pdf,bệnh tay chân miệng_text_0006
Q002,BỆNH SỐT RÉT,definition,easy,Liều primaquin cho người bán thiếu G6PD là bao nhiêu?,"Bán thiếu G6PD (hoạt độ GóPD từ 30 - 70% hoạt độ G6PD ở người bình thường), liều primaquin: 0,25 mg/kg/ngày x 14 ngày.",answer_from_context,bệnh sốt rét_text_0045,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh sốt rét.pdf,bệnh sốt rét_text_0045
Q003,BỆNH SỐT RÉT,symptom,easy,Triệu chứng nào cần phải dừng uống primaquin ngay?,nếu có bất kỳ triệu chứng nào cần ngừng uống ngay primaguin và đến cơ sở y tế có khả năng truyền máu. Người bệnh thiếu G6PD va bán thiếu cần phải được theo dõi chặt chẽ khi dùng primaquin.,answer_from_context,bệnh sốt rét_text_0045,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh sốt rét.pdf,bệnh sốt rét_text_0045
Q004,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Dấu hiệu nào cho thấy bệnh nhân có thể bị phù phổi?,"Bệnh nhân có thể bị phù phổi khi thở nhanh, có ran rít, trào bọt hồng, phổi có ran ẩm, nổ, nhịp tim Gallop.",answer_from_context,sốt xuất huyết dengue_text_0082,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0082
Q005,VIÊM GAN VIRUS A,transmission,easy,Vi rút viêm gan A có thể hiện diện ở đâu trong người bệnh?,Vi rút viêm gan A có thể hiện diện trong máu và phân của người bị nhiễm bệnh lên đến hai tuần trước khi có biểu hiện lâm sàng.,answer_from_context,viêm gan virus a_text_0006,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus a.pdf,viêm gan virus a_text_0006
Q006,VIÊM GAN VIRUS A,symptom,easy,Triệu chứng chủ yếu của viêm gan vi rút A cấp tính là gì?,"Triệu chứng chủ yếu là sốt, đau mỏi cơ, nhức đầu, chán ăn, mệt mỏi, nước tiểu sẫm màu, vàng mắt, vàng da tăng dần.",answer_from_context,viêm gan virus a_text_0006,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus a.pdf,viêm gan virus a_text_0006
Q007,VIÊM GAN VIRUS A,definition,easy,IgG anti-HAV (+) có ý nghĩa gì?,IgG anti-HAV (+) có giá trị bảo vệ và xác định tình trạng nhiễm HAV trước đây.,answer_from_context,viêm gan virus a_text_0006,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus a.pdf,viêm gan virus a_text_0006
Q008,TRUYEN NHIEM 1,symptom,easy,Trẻ nhỏ thường bị thủy đậu như thế nào so với trẻ lớn hơn?,Trẻ nhỏ thường có ít ban hơn so với trẻ lớn hơn.,answer_from_context,Truyen-nhiem-1_text_0046,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0046
Q009,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Dấu hiệu nào cần được theo dõi sát để báo BS ngưng dịch?,"Dấu hiệu đột Báo BS ngưng dịch là quá tải ngột ho, khó thở, TM cổ nổi.",answer_from_context,sốt xuất huyết dengue_text_0209,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0209
Q010,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Biện pháp phòng bệnh sốt xuất huyết Dengue được đề xuất như thế nào trong văn bản?,"Biện pháp phòng bệnh chủ yếu là kiểm soát côn trùng trung gian truyền bệnh như tránh muỗi đốt, diệt bọ gậy (loăng quăng), diệt muỗi trưởng thành, vệ sinh môi trường loại bỏ ổ chứa nước đọng.",answer_from_context,sốt xuất huyết dengue_text_0110,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0110
Q011,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Công tác nào cần thực hiện để phòng chống sốt xuất huyết Dengue theo quy định của Bộ Y tế?,"Thực hiện công tác giám sát, phòng chống sốt xuất huyết Dengue theo quy định của Bộ Y tế.",answer_from_context,sốt xuất huyết dengue_text_0110,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0110
Q012,DỊCH CÚM A,definition,easy,Việc giám sát nào được đề cập trong văn bản?,Giám sát các trường hợp viêm đường hô hấp cấp nặng tại các điểm giám sát trọng điểm (SARI) và giám sát các trường hợp viêm phổi nặng tại các bệnh viện trên toàn quốc (SPV).,answer_from_context,dịch cúm A_text_0021,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0021
Q013,DỊCH CÚM A,prevention,easy,Các biện pháp nào được đề xuất để ngăn chặn lây lan của bệnh?,"Triển khai các biện pháp cách ly chặt chẽ các trường hợp mắc bệnh cũng như nghi ngờ; điều tra, theo dõi chặt chẽ sức khỏe các trường hợp tiếp xúc.",answer_from_context,dịch cúm A_text_0021,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0021
Q014,DỊCH CÚM A,transmission,easy,Các phòng xét nghiệm được rà soát mở rộng ở đâu?,"Các phòng xét nghiệm được rà soát mở rộng tại các Viện Vệ sinh dịch tễ/Pasteur, các Bệnh viện tuyến trung ương, và các đơn vị có đủ điều kiện xét nghiệm.",answer_from_context,dịch cúm A_text_0021,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0021
Q015,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Các dấu hiệu cảnh báo mất nước ở trẻ bị sốt xuất huyết Dengue là gì?,"Trẻ có dấu hiệu cảnh báo mất nước khi tổng dịch uống trong 24 giờ đạt 2500ml, cụ thể là: 1500ml (nhu cầu cơ bản) + 1000ml (5% x cân nặng của trẻ)",answer_from_context,sốt xuất huyết dengue_text_0198,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0198
Q016,VIÊM GAN VIRUS E,definition,easy,Thuốc nào có tác dụng bảo vệ màng tế bào gan?,Thuốc bảo vệ màng tế bào gan: như nhóm BDD (Biphenyl Dimethyl Dicarboxylate).,answer_from_context,viêm gan virus e_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus e.pdf,viêm gan virus e_text_0009
Q017,VIÊM GAN VIRUS E,prevention,easy,Viêm gan vi rút E có thể được ngăn ngừa bằng cách nào?,"Viêm gan vi rút E có thể được ngăn ngừa bằng cách tiêm phòng, vệ sinh cá nhân tốt và vệ sinh môi trường.",answer_from_context,viêm gan virus e_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus e.pdf,viêm gan virus e_text_0009
Q018,VIÊM GAN VIRUS E,symptom,easy,Thuốc lợi tiểu thường được sử dụng khi bệnh nhân gặp vấn đề gì?,"Thuốc lợi tiểu, sử dụng khi bệnh nhân tiểu ít, bắt đầu với nhóm kháng Aldosteron, có thể kết hợp với thuốc lợi tiểu khác.",answer_from_context,viêm gan virus e_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus e.pdf,viêm gan virus e_text_0009
Q019,BỆNH VIÊM GAN VIRUS C,cause,easy,Tại sao chưa có vắc-xin hiệu quả chống lại vi rút viêm gan C?,Hiện chưa có vắc-xin hiệu quả chống lại vi rút viêm gan C.,answer_from_context,bệnh viêm gan virus c_text_0008,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh viêm gan virus c.pdf,bệnh viêm gan virus c_text_0008
Q020,SỐT XUẤT HUYẾT DENGUE,definition,easy,"Nguy cơ xuất huyết da, niêm mạc do giảm tiểu cầu trong sốt xuất huyết Dengue là gì?","Nguy cơ xuất huyết da, niêm mạc do giảm tiểu cầu trong sốt xuất huyết Dengue.",answer_from_context,sốt xuất huyết dengue_text_0202,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0202
Q021,SỐT XUẤT HUYẾT DENGUE,cause,easy,Sốt xuất huyết Dengue gây ra bởi sự nhiễm vi rút nào?,Sốt xuất huyết Dengue gây ra bởi sự nhiễm vi rút Dengue.,answer_from_context,sốt xuất huyết dengue_text_0202,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0202
Q022,SỐT XUẤT HUYẾT DENGUE,prevention,easy,"Ngoài việc uống nước, người bệnh nên uống loại nước gì để bổ sung dinh dưỡng?",Người bệnh nên uống các loại nước dinh dưỡng từ trái cây và sữa.,answer_from_context,sốt xuất huyết dengue_text_0235,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0235
Q023,SỐT XUẤT HUYẾT DENGUE,definition,easy,Định nghĩa nhu cầu dinh dưỡng cho người bệnh sốt xuất huyết Dengue được quy định như thế nào?,Nuôi dưỡng người bệnh sốt xuất huyết Dengue cần có chỉ dẫn cụ thể về nhu cầu dinh dưỡng.,answer_from_context,sốt xuất huyết dengue_text_0161,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0161
Q024,SỐT XUẤT HUYẾT DENGUE,definition,easy,Nguyên nhân gây ra tình trạng nuôi dưỡng cho người bệnh sốt xuất huyết Dengue được quy định như thế nào?,Nuôi dưỡng người bệnh sốt xuất huyết Dengue cần có chỉ dẫn cụ thể về nhu cầu dinh dưỡng.,answer_from_context,sốt xuất huyết dengue_text_0161,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0161
Q025,SỐT XUẤT HUYẾT DENGUE,transmission,easy,Cách thức truyền đạt thông tin về nuôi dưỡng cho người bệnh sốt xuất huyết Dengue được quy định như thế nào?,Nuôi dưỡng người bệnh sốt xuất huyết Dengue cần có chỉ dẫn cụ thể về nhu cầu dinh dưỡng.,answer_from_context,sốt xuất huyết dengue_text_0161,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0161
Q026,BỆNH VIÊM GAN VIRUS C,definition,easy,Viêm gan vi rút C là do sự tác động của loại virus nào?,Viêm gan vi rút C là do vi rut viém gan C (Hepatis C Virus: HCV) gây ra.,answer_from_context,bệnh viêm gan virus c_text_0007,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh viêm gan virus c.pdf,bệnh viêm gan virus c_text_0007
Q027,BỆNH VIÊM GAN VIRUS C,transmission,easy,Cách thức lây truyền viêm gan vi rút C qua đường nào phổ biến nhất?,"HCV chủ yếu lây qua đường máu, ngoài ra còn lây qua đường tình dục, mẹ truyền sang con.",answer_from_context,bệnh viêm gan virus c_text_0007,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh viêm gan virus c.pdf,bệnh viêm gan virus c_text_0007
Q028,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Triệu chứng của bệnh Dengue được mô tả như thế nào trong đoạn tài liệu này?,Sốt cao liên tục ≤ 7 ngày và có hoặc không dấu hiệu xuất huyết hoặc dây thắt dương tính,answer_from_context,sốt xuất huyết dengue_text_0170,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0170
Q029,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Bệnh nhân bị bệnh Dengue cần được theo dõi những dấu hiệu cảnh báo nào?,"Dấu hiệu cảnh báo bao gồm: mạch rõ gần nhất, tràn dịch màng bụng (TDMB), tràn dịch màng phổi (TDMP)",answer_from_context,sốt xuất huyết dengue_text_0170,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0170
Q030,CÚM A,transmission,easy,Khi nào cần chuyển từ thở oxy qua gọng mũi sang mặt nạ đơn giản?,"Nếu không đạt SpO2 > 90% khi thở oxy qua gọng mũi, nên chuyển sang thở oxy qua mặt nạ đơn giản.",answer_from_context,cúm A_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,cúm A.pdf,cúm A_text_0009
Q031,CÚM A,definition,easy,Lưu lượng oxy cần thiết khi sử dụng mặt nạ có túi?,Lưu lượng oxy cần thiết khi sử dụng mặt nạ có túi là 12-18 lít/phút.,answer_from_context,cúm A_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,cúm A.pdf,cúm A_text_0009
Q032,CÚM A,prevention,easy,Khi nào nên chỉ định thở CPAP?,"Nên chỉ định thở CPAP khi tình trạng giảm oxy máu không được cải thiện bằng biện pháp thở oxy, SpO2 < 92%, đặc biệt ở trẻ em.",answer_from_context,cúm A_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,cúm A.pdf,cúm A_text_0009
Q033,DỊCH CÚM A,prevention,easy,Các giải pháp giảm tử vong do cúm A(H7N9) bao gồm những gì?,"Dự trữ kinh phí, hóa chất, thuốc, trang thiết bị y tế kịp thời cho các địa phương triển khai các biện pháp chống dịch. Tăng cường năng lực xét nghiệm: Củng cố trang thiết bị phòng xét đảm bảo đủ năng lực xét nghiệm xác định; cung cấp sinh phẩm, thiết bị xét nghiệm, chân đoán; đảm bảo phát hiện nhanh, chính xác tác nhân gây bệnh của các phòng xét; tổ chức tập huấn các phương pháp lấy mẫu, bảo quản, vận chuyển và thông. Thiết lập mạng lưới các bệnh viện sẵn sàng thu dung, điều trị bệnh nhân cúm A(H7N9). Có kế hoạch mở rộng các cơ sở thu dung điều trị bệnh nhân theo từng tình huống dịch.",answer_from_context,dịch cúm A_text_0039,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0039
Q034,DỊCH CÚM A,prevention,easy,Cách tăng cường năng lực xét nghiệm để đối phó với cúm A(H7N9) là gì?,"Củng cố trang thiết bị phòng xét đảm bảo đủ năng lực xét nghiệm xác định; cung cấp sinh phẩm, thiết bị xét nghiệm, chân đoán; đảm bảo phát hiện nhanh, chính xác tác nhân gây bệnh của các phòng xét; tổ chức tập huấn các phương pháp lấy mẫu, bảo quản, vận chuyển và thông.",answer_from_context,dịch cúm A_text_0039,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0039
Q035,DỊCH CÚM A,prevention,easy,Các biện pháp để thiết lập mạng lưới thu dung điều trị bệnh nhân cúm A(H7N9) là gì?,"Thiết lập mạng lưới các bệnh viện sẵn sàng thu dung, điều trị bệnh nhân cúm A(H7N9). Có kế hoạch mở rộng các cơ sở thu dung điều trị bệnh nhân theo từng tình huống dịch.",answer_from_context,dịch cúm A_text_0039,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0039
Q036,VIÊM GAN VIRUS A,definition,easy,"Các ông, bà nào chịu trách nhiệm thi hành Quyết định này?","Cục trưởng Cục Quản lý Khám, chữa bệnh; Chánh Văn phòng Bộ; Chánh Thanh tra Bộ; các Vụ trưởng, Cục trưởng của Bộ Y tế; Giám đốc các bệnh viện, viện có giường bệnh trực thuộc Bộ Y tế; Giám đốc Sở Y tế các tỉnh, thành phố trực thuộc Trung ương; Thủ trưởng y tế các Bộ, ngành; Thủ trưởng các đơn vị có liên quan",answer_from_context,viêm gan virus a_text_0002,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus a.pdf,viêm gan virus a_text_0002
Q037,VIÊM GAN VIRUS A,definition,easy,"Các ông, bà chịu trách nhiệm thi hành Quyết định này bao gồm những người nào?","Cục trưởng Cục Quản lý Khám, chữa bệnh; Chánh Văn phòng Bộ; Chánh Thanh tra Bộ; các Vụ trưởng, Cục trưởng của Bộ Y tế; Giám đốc các bệnh viện, viện có giường bệnh trực thuộc Bộ Y tế; Giám đốc Sở Y tế các tỉnh, thành phố trực thuộc Trung ương; Thủ trưởng y tế các Bộ, ngành; Thủ trưởng các đơn vị có liên quan",answer_from_context,viêm gan virus a_text_0002,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus a.pdf,viêm gan virus a_text_0002
Q038,TRUYEN NHIEM 1,symptom,easy,Cúm A (H5N1) gây ra những triệu chứng gì?,"Theo tài liệu, cúm A (H5N1) thường gây ra các triệu chứng như sốt cao, ho, khó thở và có thể dẫn đến viêm phổi nặng.",answer_from_context,Truyen-nhiem-1_text_0130,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0130
Q039,SỐT XUẤT HUYẾT DENGUE,definition,easy,"Trong quá trình điều trị, liều lượng Lactulose được sử dụng như thế nào?",Lactulose không có liều lượng cụ thể trong đoạn văn bản này.,answer_from_context,sốt xuất huyết dengue_text_0076,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0076
