question_id,disease_group,question_type,difficulty,question,ground_truth,expected_behavior,expected_source,note,review_status,validation_status,validation_reason,source_generation,source_group,source_file,chunk_id,retrieval_evaluated,hit_any_at_5,matched_at_5,retrieved_sources_json,retrieval_filter_keep,retrieval_filter_reason
Q002,BỆNH SỐT RÉT,definition,easy,Liều primaquin cho người bán thiếu G6PD là bao nhiêu?,"Bán thiếu G6PD (hoạt độ GóPD từ 30 - 70% hoạt độ G6PD ở người bình thường), liều primaquin: 0,25 mg/kg/ngày x 14 ngày.",answer_from_context,bệnh sốt rét_text_0045,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh sốt rét.pdf,bệnh sốt rét_text_0045,1,1.0,bệnh sốt rét_text_0045,"[{""rank"": 1, ""chunk_id"": ""bệnh sốt rét_text_0045"", ""disease"": ""BỆNH SỐT RÉT"", ""section_title"": ""ĐIỀU TRỊ NHÓM ĐỐI TƯỢNG CÓ NGUY CƠ CAO"", ""source_file"": ""bệnh sốt rét.pdf"", ""page_start"": 17, ""page_end"": 17, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""Truyen-nhiem-1_text_0179"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""ĐIỀU TRỊ HỖ TRỢ"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 71, ""page_end"": 71, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""bệnh sốt rét_text_0042"", ""disease"": ""BỆNH SỐT RÉT"", ""section_title"": ""ĐIỀU TRỊ NHÓM ĐỐI TƯỢNG CÓ NGUY CƠ CAO"", ""source_file"": ""bệnh sốt rét.pdf"", ""page_start"": 15, ""page_end"": 15, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""Truyen-nhiem-1_text_0103"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""PHÒNG BỆNH"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 43, ""page_end"": 43, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""Truyen-nhiem-1_text_0035"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""ĐIỀU TRỊ CỤ THỂ A. ĐIỀU TRỊ BAN ĐẦU"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 19, ""page_end"": 19, ""content_type"": ""text""}]",1,retrieval_hit
Q008,TRUYEN NHIEM 1,symptom,easy,Trẻ nhỏ thường bị thủy đậu như thế nào so với trẻ lớn hơn?,Trẻ nhỏ thường có ít ban hơn so với trẻ lớn hơn.,answer_from_context,Truyen-nhiem-1_text_0046,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0046,1,1.0,truyen-nhiem-1_text_0046,"[{""rank"": 1, ""chunk_id"": ""Truyen-nhiem-1_text_0046"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""LÂM SÀNG"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 22, ""page_end"": 22, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""bệnh sởi_text_0024"", ""disease"": ""BỆNH SỞI"", ""section_title"": ""ĐIỀU TRỊ BỆNH SỞI KHÔNG BIẾN CHỨNG"", ""source_file"": ""bệnh sởi.pdf"", ""page_start"": 12, ""page_end"": 12, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""sốt xuất huyết dengue_text_0240"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐIỀU TRỊ CHỐNG SỐC CẦN CHÚ Ý TÍNH LƯỢNG DỊCH TRUYỀN TRÊN CÂN NẶNG"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 88, ""page_end"": 88, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""Truyen-nhiem-1_text_0047"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""ĐIỀU TRỊ KHÁNG VIRUS"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 23, ""page_end"": 23, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""viêm gan virus e_text_0010"", ""disease"": ""VIÊM GAN VIRUS E"", ""section_title"": ""PHÒNG BỆNH KHÔNG ĐẶC HIỆU"", ""source_file"": ""viêm gan virus e.pdf"", ""page_start"": 4, ""page_end"": 4, ""content_type"": ""text""}]",1,retrieval_hit
Q010,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Biện pháp phòng bệnh sốt xuất huyết Dengue được đề xuất như thế nào trong văn bản?,"Biện pháp phòng bệnh chủ yếu là kiểm soát côn trùng trung gian truyền bệnh như tránh muỗi đốt, diệt bọ gậy (loăng quăng), diệt muỗi trưởng thành, vệ sinh môi trường loại bỏ ổ chứa nước đọng.",answer_from_context,sốt xuất huyết dengue_text_0110,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0110,1,1.0,sốt xuất huyết dengue_text_0110,"[{""rank"": 1, ""chunk_id"": ""sốt xuất huyết dengue_text_0205"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": """", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 76, ""page_end"": 76, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""bệnh sốt rét_text_0010"", ""disease"": ""BỆNH SỐT RÉT"", ""section_title"": """", ""source_file"": ""bệnh sốt rét.pdf"", ""page_start"": 6, ""page_end"": 6, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""sốt xuất huyết dengue_text_0110"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""PHÒNG BỆNH"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 36, ""page_end"": 36, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""bệnh sởi_text_0010"", ""disease"": ""BỆNH SỞI"", ""section_title"": ""LÂM SÀNG"", ""source_file"": ""bệnh sởi.pdf"", ""page_start"": 6, ""page_end"": 6, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""sốt xuất huyết dengue_text_0238"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐẠI CƯƠNG"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 87, ""page_end"": 87, ""content_type"": ""text""}]",1,retrieval_hit
Q011,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Công tác nào cần thực hiện để phòng chống sốt xuất huyết Dengue theo quy định của Bộ Y tế?,"Thực hiện công tác giám sát, phòng chống sốt xuất huyết Dengue theo quy định của Bộ Y tế.",answer_from_context,sốt xuất huyết dengue_text_0110,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0110,1,1.0,sốt xuất huyết dengue_text_0110,"[{""rank"": 1, ""chunk_id"": ""bệnh do virus ebola_text_0012"", ""disease"": ""BỆNH DO VIRUS EBOLA"", ""section_title"": ""TRIỆU CHỨNG XỬ TRÍ"", ""source_file"": ""bệnh do virus ebola.pdf"", ""page_start"": 5, ""page_end"": 5, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""sốt xuất huyết dengue_text_0110"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""PHÒNG BỆNH"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 36, ""page_end"": 36, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""sốt xuất huyết dengue_text_0205"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": """", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 76, ""page_end"": 76, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""dịch cúm A_text_0033"", ""disease"": ""DỊCH CÚM A"", ""section_title"": ""KHUYẾN CÁO PHÒNG CHỐNG DỊCH CHO PHÙ HỢP VỚI CÁC ĐỐI TƯỢNG NGUY CƠ."", ""source_file"": ""dịch cúm A.pdf"", ""page_start"": 9, ""page_end"": 9, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""bệnh sốt rét_text_0002"", ""disease"": ""BỆNH SỐT RÉT"", ""section_title"": """", ""source_file"": ""bệnh sốt rét.pdf"", ""page_start"": 1, ""page_end"": 1, ""content_type"": ""text""}]",1,retrieval_hit
Q014,DỊCH CÚM A,transmission,easy,Các phòng xét nghiệm được rà soát mở rộng ở đâu?,"Các phòng xét nghiệm được rà soát mở rộng tại các Viện Vệ sinh dịch tễ/Pasteur, các Bệnh viện tuyến trung ương, và các đơn vị có đủ điều kiện xét nghiệm.",answer_from_context,dịch cúm A_text_0021,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0021,1,1.0,dịch cúm a_text_0021,"[{""rank"": 1, ""chunk_id"": ""dịch cúm A_text_0021"", ""disease"": ""DỊCH CÚM A"", ""section_title"": ""KHUYẾN CÁO PHÒNG CHỐNG DỊCH PHÙ HỢP VỚI CÁC ĐỐI TƯỢNG NGUY CƠ."", ""source_file"": ""dịch cúm A.pdf"", ""page_start"": 6, ""page_end"": 6, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""bệnh do virus corona hay covid-19_text_0019"", ""disease"": ""BỆNH DO VIRUS CORONA HAY COVID 19"", ""section_title"": ""XỬ LÝ DỤNG CỤ, ĐỒ VẢI VÀ ĐỒ DÙNG SINH HOẠT CHO BỆNH NHÂN"", ""source_file"": ""bệnh do virus corona hay covid-19.pdf"", ""page_start"": 7, ""page_end"": 7, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""bệnh sốt rét_text_0010"", ""disease"": ""BỆNH SỐT RÉT"", ""section_title"": """", ""source_file"": ""bệnh sốt rét.pdf"", ""page_start"": 6, ""page_end"": 6, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""dịch cúm A_text_0011"", ""disease"": ""DỊCH CÚM A"", ""section_title"": """", ""source_file"": ""dịch cúm A.pdf"", ""page_start"": 4, ""page_end"": 4, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""dịch cúm A_text_0038"", ""disease"": ""DỊCH CÚM A"", ""section_title"": ""KHUYẾN CÁO PHÒNG CHỐNG DỊCH CHO PHÙ HỢP VỚI CÁC ĐỐI TƯỢNG NGUY CƠ."", ""source_file"": ""dịch cúm A.pdf"", ""page_start"": 10, ""page_end"": 10, ""content_type"": ""text""}]",1,retrieval_hit
Q016,VIÊM GAN VIRUS E,definition,easy,Thuốc nào có tác dụng bảo vệ màng tế bào gan?,Thuốc bảo vệ màng tế bào gan: như nhóm BDD (Biphenyl Dimethyl Dicarboxylate).,answer_from_context,viêm gan virus e_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,viêm gan virus e.pdf,viêm gan virus e_text_0009,1,1.0,viêm gan virus e_text_0009,"[{""rank"": 1, ""chunk_id"": ""Truyen-nhiem-1_text_0138"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": """", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 57, ""page_end"": 57, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""viêm gan virus e_text_0009"", ""disease"": ""VIÊM GAN VIRUS E"", ""section_title"": ""PHÒNG BỆNH KHÔNG ĐẶC HIỆU"", ""source_file"": ""viêm gan virus e.pdf"", ""page_start"": 4, ""page_end"": 4, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""viêm gan virus b_text_0015"", ""disease"": ""VIÊM GAN VIRUS B"", ""section_title"": ""ĐIỀU TRỊ CHO MỘT SỐ TRƯỜNG HỢP ĐẶC BIỆT"", ""source_file"": ""viêm gan virus b.pdf"", ""page_start"": 6, ""page_end"": 6, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""Truyen-nhiem-1_text_0155"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""CHẨN ĐOÁN XÁC ĐỊNH"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 61, ""page_end"": 61, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""bệnh do virus corona hay covid-19_text_0013"", ""disease"": ""BỆNH DO VIRUS CORONA HAY COVID 19"", ""section_title"": ""ĐIỀU TRỊ HỖ TRỢ"", ""source_file"": ""bệnh do virus corona hay covid-19.pdf"", ""page_start"": 5, ""page_end"": 5, ""content_type"": ""text""}]",1,retrieval_hit
Q019,BỆNH VIÊM GAN VIRUS C,cause,easy,Tại sao chưa có vắc-xin hiệu quả chống lại vi rút viêm gan C?,Hiện chưa có vắc-xin hiệu quả chống lại vi rút viêm gan C.,answer_from_context,bệnh viêm gan virus c_text_0008,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh viêm gan virus c.pdf,bệnh viêm gan virus c_text_0008,1,1.0,bệnh viêm gan virus c_text_0008,"[{""rank"": 1, ""chunk_id"": ""viêm gan virus d_text_0010"", ""disease"": ""VIÊM GAN VIRUS D"", ""section_title"": ""PHÒNG BỆNH"", ""source_file"": ""viêm gan virus d.pdf"", ""page_start"": 4, ""page_end"": 4, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""viêm gan virus b_text_0020"", ""disease"": ""VIÊM GAN VIRUS B"", ""section_title"": ""PHÒNG BỆNH"", ""source_file"": ""viêm gan virus b.pdf"", ""page_start"": 8, ""page_end"": 8, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""bệnh viêm gan virus c_text_0011"", ""disease"": ""BỆNH VIÊM GAN VIRUS C"", ""section_title"": ""LÂM SÀNG"", ""source_file"": ""bệnh viêm gan virus c.pdf"", ""page_start"": 9, ""page_end"": 9, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""bệnh viêm gan virus c_text_0008"", ""disease"": ""BỆNH VIÊM GAN VIRUS C"", ""section_title"": ""LÂM SÀNG"", ""source_file"": ""bệnh viêm gan virus c.pdf"", ""page_start"": 8, ""page_end"": 8, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""Truyen-nhiem-1_text_0118"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""TÁC NHÂN GÂY BỆNH"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 49, ""page_end"": 49, ""content_type"": ""text""}]",1,retrieval_hit
Q021,SỐT XUẤT HUYẾT DENGUE,cause,easy,Sốt xuất huyết Dengue gây ra bởi sự nhiễm vi rút nào?,Sốt xuất huyết Dengue gây ra bởi sự nhiễm vi rút Dengue.,answer_from_context,sốt xuất huyết dengue_text_0202,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0202,1,1.0,sốt xuất huyết dengue_text_0202,"[{""rank"": 1, ""chunk_id"": ""bệnh tay chân miệng_text_0020"", ""disease"": ""BỆNH TAY CHÂN MIỆNG"", ""section_title"": ""BIẾN CHỨNG"", ""source_file"": ""bệnh tay chân miệng.pdf"", ""page_start"": 9, ""page_end"": 9, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""Truyen-nhiem-1_text_0159"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""ĐIỀU TRỊ"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 62, ""page_end"": 62, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""Truyen-nhiem-1_text_0119"", ""disease"": ""TRUYEN NHIEM 1"", ""section_title"": ""TÁC NHÂN GÂY BỆNH"", ""source_file"": ""Truyen-nhiem-1.pdf"", ""page_start"": 49, ""page_end"": 49, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""sốt xuất huyết dengue_text_0202"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": """", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 75, ""page_end"": 75, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""bệnh viêm gan virus c_text_0011"", ""disease"": ""BỆNH VIÊM GAN VIRUS C"", ""section_title"": ""LÂM SÀNG"", ""source_file"": ""bệnh viêm gan virus c.pdf"", ""page_start"": 9, ""page_end"": 9, ""content_type"": ""text""}]",1,retrieval_hit
Q022,SỐT XUẤT HUYẾT DENGUE,prevention,easy,"Ngoài việc uống nước, người bệnh nên uống loại nước gì để bổ sung dinh dưỡng?",Người bệnh nên uống các loại nước dinh dưỡng từ trái cây và sữa.,answer_from_context,sốt xuất huyết dengue_text_0235,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0235,1,1.0,sốt xuất huyết dengue_text_0235,"[{""rank"": 1, ""chunk_id"": ""sốt xuất huyết dengue_text_0235"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐIỀU TRỊ NỘI TRÚ A) THEO DÕI LÂM SÀNG"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 86, ""page_end"": 86, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""sốt xuất huyết dengue_text_0187"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐIỀU TRỊ SXHD THEO PHÂN ĐỘ"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 70, ""page_end"": 70, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""sốt xuất huyết dengue_text_0204"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": """", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 76, ""page_end"": 76, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""bệnh sởi_text_0024"", ""disease"": ""BỆNH SỞI"", ""section_title"": ""ĐIỀU TRỊ BỆNH SỞI KHÔNG BIẾN CHỨNG"", ""source_file"": ""bệnh sởi.pdf"", ""page_start"": 12, ""page_end"": 12, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""bệnh tay chân miệng_text_0029"", ""disease"": ""BỆNH TAY CHÂN MIỆNG"", ""section_title"": ""ĐIỀU TRỊ NGOẠI TRÚ VÀ THEO DÕI TẠI Y TẾ CƠ SỞ"", ""source_file"": ""bệnh tay chân miệng.pdf"", ""page_start"": 13, ""page_end"": 13, ""content_type"": ""text""}]",1,retrieval_hit
Q030,CÚM A,transmission,easy,Khi nào cần chuyển từ thở oxy qua gọng mũi sang mặt nạ đơn giản?,"Nếu không đạt SpO2 > 90% khi thở oxy qua gọng mũi, nên chuyển sang thở oxy qua mặt nạ đơn giản.",answer_from_context,cúm A_text_0009,,need_review,passed,passed,llm_from_chunk,in_scope_easy,cúm A.pdf,cúm A_text_0009,1,1.0,cúm a_text_0009,"[{""rank"": 1, ""chunk_id"": ""cúm A_text_0009"", ""disease"": ""CÚM A"", ""section_title"": ""ĐIỀU TRỊ SUY HÔ HẤP"", ""source_file"": ""cúm A.pdf"", ""page_start"": 3, ""page_end"": 3, ""content_type"": ""text""}, {""rank"": 2, ""chunk_id"": ""sốt xuất huyết dengue_text_0132"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐIỀU TRỊ"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 45, ""page_end"": 45, ""content_type"": ""text""}, {""rank"": 3, ""chunk_id"": ""sốt xuất huyết dengue_text_0255"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐẠI CƯƠNG"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 93, ""page_end"": 93, ""content_type"": ""text""}, {""rank"": 4, ""chunk_id"": ""sốt xuất huyết dengue_text_0254"", ""disease"": ""SỐT XUẤT HUYẾT DENGUE"", ""section_title"": ""ĐẠI CƯƠNG"", ""source_file"": ""sốt xuất huyết dengue.pdf"", ""page_start"": 92, ""page_end"": 92, ""content_type"": ""text""}, {""rank"": 5, ""chunk_id"": ""bệnh rubella_text_0015"", ""disease"": ""BỆNH RUBELLA"", ""section_title"": ""PHÒNG BỆNH CHUNG"", ""source_file"": ""bệnh rubella.pdf"", ""page_start"": 5, ""page_end"": 5, ""content_type"": ""text""}]",1,retrieval_hit
